name,RUsageMemory_mbytes,total_mbytes
" Average",86.3196022727273,4536.76190705733
mandelbrot,120.98046875,6239.53404045105
matmult-large,80.96875,118.679777145386
matmult-large-na,80.9609375,118.682691574097
matmult-small-loops,36.21875,2326.52278709412
matmult-small-op,30.33984375,33.7073955535889
memwaste,187.19921875,38294.4952793121
paralleldemo,30.1484375,34.9230499267578
"paralleldemo child    1",102.4609375,575.373208045959
"paralleldemo child    2",87.859375,658.914422035217
"paralleldemo child    3",96.34375,696.779648780823
"paralleldemo child    4",96.03515625,806.768677711487
