name,External,Lookup,Match,Duplicate,GC,MemAlloc,Subset,EvalList,Arith,BuiltIn_Special,Other
" Average",0.0016,0.4604,0.0161,0.0046,3.6885,0.7417,0.7645,0.2976,66.4089,72.4212,22.3645
mandelbrot,0.0191,0.2463,0.2619,0.0723,26.3313,0.9728,0.0532,0.1058,59.4153,71.5328,0.3821
matmult-large,0.0227,0.2933,0.3083,0.0867,10.2599,1.1008,0.0778,0.1202,64.8909,78.652,9.0724
matmult-large-na,0.0148,0.1988,0.2093,0.0593,7.2128,0.7453,0.0532,0.0814,75.9845,85.308,6.1266
matmult-small-loops,0.0056,13.9437,0.0705,0.0201,9.8228,21.5205,23.7748,9.1079,1.0957,45.414,0.0807
matmult-small-op,0.1056,1.3684,1.4547,0.4157,28.2739,5.174,0.3331,0.5415,0.3239,60.7988,1.5505
memwaste,0.0025,0.0398,0.0348,0.01,34.4142,0.1596,0.0078,0.0176,0.0008,65.2756,0.0358
paralleldemo,0.0017,0.0126,0.0129,0.004,0.2245,0.0459,0.0028,0.0047,0.0007,0.5184,99.1723
"paralleldemo child    1",0.0003,0.0006,0.0003,0.0001,1.1309,0.0019,0.0001,0.0005,94.1146,94.2002,4.6651
"paralleldemo child    2",0.0004,0.0009,0.0003,0.0001,1.1555,0.0021,0.0001,0.0006,93.9127,94.003,4.8371
"paralleldemo child    3",0.0005,0.001,0.0005,0.0001,1.3183,0.0032,0.0002,0.0009,93.1116,93.2226,5.4529
"paralleldemo child    4",0.0004,0.0007,0.0003,0.0001,0.9477,0.0021,0.0001,0.0006,94.3645,94.4421,4.6061
